host_time,sample_index,firmware_seq,firmware_time_s,mode,mode_name,dq_reference,cmdL,cmdR,rpmL,rpmR,iqL_A,iqR_A,idL_A,idR_A,idcL_A,idcR_A,hallL,hallR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,encoder_position,position_target,position_speed_ref_rpm,encoder_elec_angle_deg,encoder_rpm,encoder_sync_state,encoder_sync_text,hw_profile,hw_profile_name,foc_isr_cycles_max,enabled,timeout,left_fault,right_fault,calibrating,calibration_pct
2026-08-30T17:04:14.840,0,3292,0.000000,2,FOC SPD,generated rotor dq,0,0,0,0,0.0400,-0.0200,-0.0500,-0.0200,-0.1200,0.3000,110,110,1900,1969,1952,1940,1948,1936,42.650,42.00,3128,48.8750,78.200,0,0,0,0.0,0,0,idle,1,two_hall,3293,1,0,0,0,0,100.0
2026-08-30T17:04:14.861,1,3293,0.020000,2,FOC SPD,generated rotor dq,6,6,0,0,0.0400,-0.0100,-0.0600,0.0000,-0.1400,0.2800,110,110,1900,1970,1954,1937,1951,1938,42.650,42.00,3087,48.2344,77.175,0,0,0,0.0,0,0,idle,1,two_hall,3293,1,0,0,0,0,100.0
2026-08-30T17:04:14.881,2,3294,0.040000,2,FOC SPD,generated rotor dq,11,11,0,0,0.1000,0.0000,-0.0600,-0.0300,-0.1400,0.3200,110,110,1899,1965,1957,1941,1948,1933,42.650,42.00,3120,48.7500,78.000,0,0,0,0.0,0,0,idle,1,two_hall,3293,1,0,0,0,0,100.0
2026-08-30T17:04:14.901,3,3295,0.060000,2,FOC SPD,generated rotor dq,14,14,0,0,0.1100,0.0700,-0.0500,-0.0100,-0.1400,0.3000,110,110,1900,1964,1953,1940,1951,1931,42.650,42.00,3167,49.4844,79.175,0,0,0,0.0,0,0,idle,1,two_hall,3293,1,0,0,0,0,100.0
2026-08-30T17:04:14.922,4,3296,0.080000,2,FOC SPD,generated rotor dq,16,16,0,0,0.3600,0.4000,-0.1800,-0.1900,-0.1200,0.3000,110,110,1899,1968,1940,1937,1975,1919,42.650,42.00,3087,48.2344,77.175,0,0,0,0.0,0,0,idle,1,two_hall,3293,1,0,0,0,0,100.0
2026-08-30T17:04:14.942,5,3297,0.100000,2,FOC SPD,generated rotor dq,17,17,0,0,0.6000,0.5900,-0.3300,-0.2800,-0.1200,0.4400,110,110,1900,1968,1926,1937,1979,1907,42.650,42.00,3120,48.7500,78.000,0,0,0,0.0,0,0,idle,1,two_hall,3293,1,0,0,0,0,100.0
2026-08-30T17:04:14.962,6,3298,0.120000,2,FOC SPD,generated rotor dq,18,18,0,0,0.8800,0.7200,-0.3900,-0.4300,-0.0800,0.3600,110,100,1902,1961,1920,1942,1951,1901,42.650,42.00,3091,48.2969,77.275,0,0,0,0.0,0,0,idle,1,two_hall,3293,1,0,0,0,0,100.0
2026-08-30T17:04:14.982,7,3299,0.140000,2,FOC SPD,generated rotor dq,18,18,40,94,0.6700,9.2100,-0.8500,-2.5200,-0.1800,5.4200,011,001,1897,2004,1969,2201,1403,2294,42.620,41.80,3069,47.9531,76.725,0,0,0,0.0,0,0,idle,1,two_hall,3330,1,0,0,0,0,100.0
2026-08-30T17:04:15.003,8,3300,0.160000,2,FOC SPD,generated rotor dq,19,19,174,283,5.2700,0.3600,3.2300,-1.1600,4.6800,-0.2800,010,010,2137,1935,1713,1908,1968,1865,42.620,41.80,3071,47.9844,76.775,0,0,0,0.0,0,0,idle,1,two_hall,3469,1,0,0,0,0,100.0
2026-08-30T17:04:15.023,9,3301,0.180000,2,FOC SPD,generated rotor dq,19,19,237,253,-9.1900,5.9900,-31.3000,0.0300,0.3600,2.1400,010,100,1923,1956,3888,2028,1997,1605,42.620,41.80,2987,46.6719,74.675,0,0,0,0.0,0,0,idle,1,two_hall,3494,1,0,0,0,0,100.0
2026-08-30T17:04:15.045,10,3302,0.200000,2,FOC SPD,generated rotor dq,19,19,271,321,1.8200,0.0500,7.3600,-0.3100,3.8200,0.3400,101,011,2092,2302,1964,1939,1981,1906,42.490,41.80,3215,50.2344,80.375,0,0,0,0.0,0,0,idle,1,two_hall,3598,1,0,0,0,0,100.0
2026-08-30T17:04:15.064,11,3303,0.220000,2,FOC SPD,generated rotor dq,19,19,257,329,3.6200,6.1900,1.8200,0.3100,2.2000,5.1000,100,101,2027,1715,1956,2175,1729,2016,42.490,41.80,3008,47.0000,75.200,0,0,0,0.0,0,0,idle,1,two_hall,3598,1,0,0,0,0,100.0
2026-08-30T17:04:15.084,12,3304,0.240000,2,FOC SPD,generated rotor dq,19,19,300,362,3.1300,-4.1000,2.6900,0.2300,3.4200,0.0400,011,100,2079,2162,1861,1929,1945,3904,42.490,42.00,2980,46.5625,74.500,0,0,0,0.0,0,0,idle,1,two_hall,3598,1,0,0,0,0,100.0
2026-08-30T17:04:15.105,13,3305,0.260000,2,FOC SPD,generated rotor dq,19,19,364,368,3.5600,3.6700,1.2400,-4.5300,2.2800,1.4800,010,110,2019,1999,1793,1998,1999,1288,42.360,42.00,3061,47.8281,76.525,0,0,0,0.0,0,0,idle,1,two_hall,3598,1,0,0,0,0,100.0
2026-08-30T17:04:15.125,14,3306,0.280000,2,FOC SPD,generated rotor dq,19,19,410,396,2.4800,1.9700,0.4400,-1.0700,1.8800,1.9600,010,110,2001,1999,1861,2023,2042,1696,42.360,42.00,2981,46.5781,74.525,0,0,0,0.0,0,0,idle,1,two_hall,3598,1,0,0,0,0,100.0
2026-08-30T17:04:15.145,15,3307,0.300000,2,FOC SPD,generated rotor dq,19,19,439,423,1.2500,3.0600,0.2000,-2.0300,1.1800,2.3800,011,110,1964,2025,1959,2044,2006,1831,42.360,42.00,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3598,1,0,0,0,0,100.0
2026-08-30T17:04:15.166,16,3308,0.320000,2,FOC SPD,generated rotor dq,20,20,479,464,1.7000,2.8200,-0.0600,-0.0600,1.7600,1.6600,101,101,1993,1848,2024,2011,1784,1967,42.300,42.00,2986,46.6562,74.650,0,0,0,0.0,0,0,idle,1,two_hall,3598,1,0,0,0,0,100.0
2026-08-30T17:04:15.186,17,3309,0.340000,2,FOC SPD,generated rotor dq,20,20,507,497,2.9100,1.6600,1.1200,-0.3700,1.7400,2.1800,010,010,1997,2076,1624,2036,2042,1912,42.300,42.00,2973,46.4531,74.325,0,0,0,0.0,0,0,idle,1,two_hall,3608,1,0,0,0,0,100.0
2026-08-30T17:04:15.206,18,3310,0.360000,2,FOC SPD,generated rotor dq,20,20,547,527,1.9100,2.0900,-0.2800,-0.8600,1.2000,1.9800,100,001,1968,1886,1927,2030,1848,2030,42.300,42.00,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3608,1,0,0,0,0,100.0
2026-08-30T17:04:15.227,19,3311,0.380000,2,FOC SPD,generated rotor dq,20,20,547,534,0.5500,1.7200,0.3900,0.1200,0.6600,1.0400,101,100,1936,1961,1985,1977,1988,1812,42.300,42.00,2992,46.7500,74.800,0,0,0,0.0,0,0,idle,1,two_hall,3608,1,0,0,0,0,100.0
2026-08-30T17:04:15.247,20,3312,0.400000,2,FOC SPD,generated rotor dq,20,20,554,541,0.9600,0.5500,-0.5500,-0.5700,1.0000,0.8800,011,110,1956,1971,2013,1970,1984,1878,42.300,42.00,2991,46.7344,74.775,0,0,0,0.0,0,0,idle,1,two_hall,3608,1,0,0,0,0,100.0
2026-08-30T17:04:15.267,21,3313,0.420000,2,FOC SPD,generated rotor dq,20,20,554,534,0.5500,0.1400,0.1200,0.2100,0.2800,0.6800,010,011,1922,1977,1951,1954,1939,1947,42.300,42.00,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.288,22,3314,0.440000,2,FOC SPD,generated rotor dq,20,20,547,534,1.4900,0.8200,0.0100,-0.1500,0.4200,1.0000,110,001,1928,1962,1951,1975,1921,1964,42.300,42.00,2991,46.7344,74.775,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.309,23,3315,0.460000,2,FOC SPD,generated rotor dq,20,20,554,547,0.6700,1.3200,-0.1600,0.1100,0.4400,0.9600,100,100,1926,1974,1945,1970,1919,2039,42.300,42.00,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.328,24,3316,0.480000,2,FOC SPD,generated rotor dq,20,20,547,541,0.5900,0.7300,-0.0500,-0.6100,0.4200,1.1000,101,110,1927,1960,1978,1973,1992,1807,42.300,42.00,2980,46.5625,74.500,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.349,25,3317,0.500000,2,FOC SPD,generated rotor dq,20,20,554,541,0.8900,0.2000,0.1400,-0.0800,0.6400,0.8600,001,011,1939,1983,1983,1965,1961,1938,42.300,42.00,2991,46.7344,74.775,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.369,26,3318,0.520000,2,FOC SPD,generated rotor dq,20,20,547,541,0.3700,-0.1600,0.2100,0.8700,0.4800,0.7600,011,001,1929,1978,1965,1961,1862,1946,42.300,42.00,2992,46.7500,74.800,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
