host_time,elapsed_s,telemetry_version,cmdL,cmdR,rpmL,rpmR,dutyL_pct,dutyR_pct,currentMotorL_A,currentMotorR_A,currentInL_A,currentInR_A,idL_A,idR_A,iqL_A,iqR_A,vdL_V,vdR_V,vqL_V,vqR_V,hallL,hallR,faultL,faultR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,status
2026-09-01T21:21:50.546,0.006,2,0,0,0,-14,0.0,-11.7,-0.34,-0.75,0.06,0.10,0.04,1.37,-0.34,-0.75,0.00,-1.99,0.00,-5.21,110,001,0,0,1929,1985,2005,1869,1907,1941,42.73,33.1,3284,51.312,82.10,1
2026-09-01T21:21:50.551,0.012,2,0,0,0,-14,0.0,-12.0,-0.33,-1.35,0.02,0.18,0.04,0.54,-0.33,-1.35,0.00,-1.69,0.00,-5.58,110,001,0,0,1927,1984,2005,1875,1973,1867,42.73,33.1,3284,51.312,82.10,1
2026-09-01T21:21:50.562,0.022,2,2,2,0,-19,0.0,-12.5,-0.32,-0.85,0.00,0.06,0.05,0.17,-0.32,-0.85,0.00,-1.66,0.00,-5.88,110,101,0,0,1928,1984,2005,1871,2011,1905,42.73,33.1,3283,51.297,82.08,1
2026-09-01T21:21:50.682,0.142,2,11,11,0,-62,5.9,-13.9,0.06,0.01,0.10,0.12,0.08,-0.19,0.06,0.01,-0.51,-0.82,2.89,-6.55,110,011,0,0,1926,1974,1998,1865,1972,1934,42.73,33.1,3302,51.594,82.55,1
2026-09-01T21:21:50.693,0.153,2,19,19,0,-63,6.0,-13.0,0.10,-0.07,0.12,0.08,0.10,-0.27,0.10,-0.07,-0.61,-0.37,2.90,-6.14,110,001,0,0,1929,1971,1995,1866,1974,1941,42.73,33.1,3303,51.609,82.58,1
2026-09-01T21:21:50.705,0.165,2,25,25,0,-62,6.0,-10.5,0.11,-0.25,0.06,0.02,-0.29,-0.14,0.11,-0.25,-0.16,-0.05,3.17,-5.00,010,101,0,0,1928,1992,1987,1866,1971,1947,42.73,33.1,3331,52.047,83.28,1
2026-09-01T21:21:50.718,0.178,2,29,29,0,-59,6.4,-7.5,0.17,-0.20,0.06,-0.02,-0.06,0.11,0.17,-0.20,-0.01,-0.34,3.45,-3.54,010,100,0,0,1929,1985,1985,1865,1971,1947,42.73,33.1,3331,52.047,83.28,1
2026-09-01T21:21:50.727,0.187,2,33,33,0,-57,6.4,-5.5,0.34,-0.01,0.06,0.00,0.12,0.29,0.36,-0.01,-0.16,-0.83,3.39,-2.45,010,110,0,0,1930,1981,1977,1866,1972,1940,42.73,33.1,3330,52.031,83.25,1
2026-09-01T21:21:50.738,0.198,2,36,36,0,-57,6.4,-4.4,0.28,-0.12,0.04,-0.06,0.07,0.33,0.29,-0.13,-0.37,-1.24,3.24,-1.65,011,110,0,0,1927,1993,1999,1863,1975,1946,42.73,33.1,3326,51.969,83.15,1
2026-09-01T21:21:50.749,0.210,2,39,39,0,-52,6.2,-4.5,0.41,0.37,0.04,0.00,-0.16,-0.18,0.41,0.37,0.09,-1.06,3.29,-1.88,011,010,0,0,1930,1997,1989,1866,1984,1934,42.73,33.1,3330,52.031,83.25,1
