motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,0.0,0.07485781499417499,0.0,0.0,0.3,0.1,0.3,0.0,42.9,0,0,0,0
left,0.0,0.2024824889958836,0.0,0.0,0.3,0.1,0.3,0.0,42.9,0,0,0,0
left,0.0,0.32708249596180394,0.0,0.0,0.3,0.1,0.3,0.0,42.9,0,0,0,0
left,0.0,0.45198124198941514,0.0,0.0,0.3,0.1,0.3,0.0,42.9,0,0,0,0
left,0.05,0.09568584797671065,0.05,0.0,0.29,0.1,0.29,0.0,42.9,0,0,0,0
left,0.05,0.21001390897436067,0.05,0.0,0.12,0.08,0.12,0.02,42.9,0,0,0,0
left,0.05,0.3244222369976342,0.05,0.0,0.11,0.08,0.11,0.02,42.9,0,0,0,0
left,0.05,0.43863724498078227,0.05,0.0,0.1,0.1,0.1,0.02,42.9,0,0,0,0
left,0.1,0.15721735201077536,0.05,0.0,0.09,0.1,0.09,0.01,42.9,0,0,0,0
left,0.1,0.49823021999327466,0.1,443.0,0.13,0.12,-0.01,-0.13,42.9,0,0,0,0
left,0.15,0.09501725202426314,0.15,449.0,0.18,0.14,0.0,0.18,42.9,0,0,0,0
left,0.15,0.21994557103607804,0.15,914.0,0.24,0.18,-0.01,0.24,42.9,0,0,0,0
left,0.15,0.3446322940289974,0.15,914.0,0.15,0.16,0.01,0.15,42.9,0,0,0,0
left,0.15,0.4693893300136551,0.15,919.0,0.19,0.16,0.0,0.19,42.9,0,0,0,0
left,0.2,0.07613193499855697,0.2,919.0,0.22,0.18,-0.01,0.22,42.9,0,0,0,0
left,0.2,0.2006966180051677,0.2,1344.0,0.21,0.2,-0.01,0.21,42.9,0,0,0,0
left,0.2,0.32536705501843244,0.2,1355.0,0.15,0.18,0.02,0.15,42.9,0,0,0,0
left,0.2,0.45016259304247797,0.2,1344.0,0.18,0.2,-0.01,0.18,42.9,0,0,0,0
left,0.25,0.07485183799872175,0.2,1344.0,0.14,0.2,0.0,0.14,42.9,0,0,0,0
left,0.25,0.20086059701861814,0.25,1839.0,0.32,0.28,0.01,0.32,42.9,0,0,0,0
left,0.25,0.32552380801644176,0.25,1818.0,0.14,0.2,0.0,0.14,42.9,0,0,0,0
left,0.25,0.45044663798762485,0.25,1839.0,0.16,0.22,0.01,0.16,42.9,0,0,0,0
left,0.3,0.08552738500293344,0.25,1818.0,0.18,0.22,-0.01,0.18,42.9,0,0,0,0
