motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,0.0,0.26111571700312197,0.0,0.0,0.32,0.14,-0.13,0.29,42.9,0,0,0,0
left,0.05,1.055039061990101,0.0,0.0,0.32,0.14,-0.12,0.29,42.9,0,0,0,0
left,0.1,0.07571303402073681,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0,0,0,0
left,0.1,0.22165595699334517,0.1,439.0,0.27,0.16,0.01,0.27,42.9,0,0,0,0
left,0.15,0.08508113899733871,0.15,449.0,0.18,0.16,-0.02,0.18,42.9,0,0,0,0
left,0.15,0.20976395602338016,0.15,903.0,0.3,0.2,0.02,0.3,42.9,0,0,0,0
left,0.2,0.08552849799161777,0.2,909.0,0.17,0.2,0.0,0.17,42.9,0,0,0,0
left,0.2,0.22060685901669785,0.2,1355.0,0.28,0.24,-0.02,0.28,42.9,0,0,0,0
left,0.25,0.08520783303538337,0.25,1355.0,0.16,0.22,0.0,0.16,42.9,0,0,0,0
left,0.25,0.22191116801695898,0.25,1839.0,0.27,0.28,0.0,0.27,42.9,0,0,0,0
left,0.3,0.08523886400507763,0.3,1797.0,0.17,0.24,0.0,0.17,42.9,0,0,0,0
left,0.3,0.22050577000482008,0.3,2318.0,0.28,0.32,0.01,0.28,42.9,0,0,0,0
left,0.35,0.08452662796480581,0.35,2318.0,0.18,0.28,0.0,0.18,42.9,0,0,0,0
left,0.35,0.2092919279821217,0.35,2758.0,0.32,0.38,0.0,0.32,42.9,0,0,0,0
left,0.4,0.0852378390263766,0.4,2758.0,0.17,0.3,0.0,0.17,42.9,0,0,0,0
left,0.4,0.2203513350104913,0.4,3265.0,0.32,0.42,0.01,0.32,42.9,0,0,0,0
left,0.45,0.08499772899085656,0.45,3265.0,0.2,0.34,-0.01,0.2,42.9,0,0,0,0
left,0.45,0.2308574859634973,0.45,3720.0,0.34,0.48,0.0,0.34,42.9,0,0,0,0
left,0.5,0.08470449800370261,0.45,3720.0,0.21,0.38,0.0,0.21,42.9,0,0,0,0
left,0.5,0.21941482101101428,0.5,4210.0,0.32,0.5,0.02,0.32,42.9,0,0,0,0
left,0.55,0.08485664101317525,0.5,4210.0,0.23,0.44,-0.01,0.23,42.9,0,0,0,0
left,0.55,0.2201827120152302,0.55,4705.0,0.34,0.58,0.0,0.34,42.9,0,0,0,0
left,0.6,0.08494600700214505,0.6,4705.0,0.22,0.48,0.02,0.22,42.9,0,0,0,0
left,0.6,0.22009674494620413,0.6,5161.0,0.33,0.62,-0.01,0.33,42.9,0,0,0,0
left,0.65,0.08511169202392921,0.6,5161.0,0.23,0.52,0.0,0.23,42.9,0,0,0,0
left,0.65,0.20980689697898924,0.65,5714.0,0.33,0.68,0.01,0.33,42.9,0,0,0,0
left,0.7,0.08507765701506287,0.65,5714.0,0.22,0.56,0.01,0.22,42.9,0,0,0,0
left,0.7,0.20960442599607632,0.7,5925.0,0.33,0.74,0.0,0.33,42.9,0,0,0,0
left,0.75,0.08484496100572869,0.75,6153.0,0.22,0.62,-0.01,0.22,42.9,0,0,0,0
left,0.75,0.22004906798247248,0.75,6666.0,0.32,0.8,0.01,0.32,42.9,0,0,0,0
left,0.8,0.08501199900638312,0.8,6666.0,0.2,0.66,0.01,0.2,42.9,0,0,0,0
left,0.8,0.22054756002034992,0.8,6956.0,0.3,0.88,0.0,0.3,42.9,0,0,0,0
left,0.85,0.08500773797277361,0.85,6956.0,0.2,0.74,-0.01,0.2,42.9,0,0,0,0
left,0.85,0.20938937296159565,0.85,7272.0,0.26,0.94,0.0,0.26,42.9,0,0,0,0
left,0.9,0.08509529399452731,0.9,7619.0,0.15,0.82,0.01,0.15,42.9,0,0,0,0
left,0.9,0.21983662899583578,0.9,8000.0,0.22,1.02,0.0,0.22,42.9,0,0,0,0
left,0.95,0.08664742903783917,0.9,8000.0,0.11,0.86,0.0,0.11,42.9,0,0,0,0
left,0.95,0.2111076670116745,0.95,8421.0,0.24,1.1,0.02,0.24,42.9,0,0,0,0
left,1.0,0.09562438796274364,1.0,8421.0,0.12,0.92,0.01,0.12,42.9,0,0,0,0
