motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
right,0.0,0.11633622000226751,0.0,0.0,0.29,0.08,-0.29,0.0,42.3,0,0,0,0
right,0.0,0.271845253999345,0.0,0.0,0.29,0.08,-0.29,-0.01,42.3,0,0,0,0
right,0.05,0.16784746997291222,-0.05,0.0,0.29,0.08,-0.29,-0.01,42.3,0,0,0,0
right,0.05,0.39552985096815974,-0.05,0.0,0.1,0.08,-0.1,-0.01,42.3,0,0,0,0
right,0.1,0.11652557202614844,-0.05,0.0,0.09,0.08,-0.09,-0.01,42.4,0,0,0,0
right,0.1,0.26291912799933925,0.1,0.0,0.78,0.18,0.73,0.28,42.4,0,0,0,0
right,0.15,0.08506621205015108,0.1,454.0,0.18,0.12,0.0,0.18,42.4,0,0,0,0
right,0.15,0.22022320103133097,0.15,888.0,0.33,0.16,-0.04,0.33,42.4,0,0,0,0
right,0.2,0.09637688001384959,0.15,888.0,0.18,0.14,0.0,0.18,42.4,0,0,0,0
right,0.2,0.2320037889876403,0.2,1344.0,0.29,0.18,0.0,0.29,42.4,0,0,0,0
right,0.25,0.09529385395580903,0.25,1333.0,0.18,0.16,0.0,0.18,42.4,0,0,0,0
right,0.25,0.22109177499078214,0.25,1818.0,0.3,0.22,0.0,0.3,42.4,0,0,0,0
right,0.3,0.10643389000324532,0.3,1818.0,0.21,0.18,0.0,0.21,42.4,0,0,0,0
right,0.3,0.24143298203125596,0.3,2285.0,0.32,0.26,0.01,0.32,42.4,0,0,0,0
right,0.35,0.09510372800286859,0.3,2285.0,0.2,0.22,-0.01,0.2,42.4,0,0,0,0
right,0.35,0.24073596199741587,0.35,2758.0,0.34,0.3,0.0,0.34,42.4,0,0,0,0
right,0.4,0.09536199900321662,0.35,2711.0,0.23,0.24,-0.01,0.23,42.4,0,0,0,0
right,0.4,0.2408840560237877,0.4,3200.0,0.35,0.34,0.0,0.35,42.4,0,0,0,0
right,0.45,0.10564706398872659,0.45,3265.0,0.23,0.28,0.01,0.23,42.4,0,0,0,0
right,0.45,0.2612757489550859,0.45,3720.0,0.37,0.38,0.0,0.37,42.5,0,0,0,0
right,0.5,0.09534048003843054,0.5,3720.0,0.27,0.32,-0.01,0.27,42.5,0,0,0,0
right,0.5,0.24046341504435986,0.5,4210.0,0.39,0.44,0.03,0.39,42.5,0,0,0,0
right,0.55,0.09552001400152221,0.5,4102.0,0.28,0.36,0.0,0.28,42.5,0,0,0,0
right,0.55,0.24078413302777335,0.55,4705.0,0.4,0.5,0.01,0.4,42.5,0,0,0,0
right,0.6,0.10581175098195672,0.6,4571.0,0.3,0.4,0.0,0.3,42.5,0,0,0,0
right,0.6,0.25073101598536596,0.6,5161.0,0.41,0.54,0.0,0.41,42.5,0,0,0,0
right,0.65,0.10582553304266185,0.65,5000.0,0.33,0.46,-0.02,0.33,42.5,0,0,0,0
right,0.65,0.24082054302562028,0.65,5517.0,0.4,0.6,0.02,0.4,42.5,0,0,0,0
right,0.7,0.09517098299693316,0.65,5517.0,0.33,0.5,-0.01,0.33,42.5,0,0,0,0
right,0.7,0.22993596002925187,0.7,6153.0,0.41,0.66,0.02,0.41,42.5,0,0,0,0
right,0.75,0.10654762398917228,0.7,5925.0,0.31,0.56,0.0,0.31,42.5,0,0,0,0
right,0.75,0.24107394804013893,0.75,6400.0,0.38,0.72,0.03,0.38,42.5,0,0,0,0
right,0.8,0.1055824609939009,0.8,6400.0,0.28,0.6,0.0,0.28,42.5,0,0,0,0
right,0.8,0.2511500720283948,0.8,6956.0,0.38,0.78,0.01,0.38,42.5,0,0,0,0
