t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
511717.217714552,0.2,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0
511717.26201584,0.2,0.2,0.0,1.75,0.48,0.22,1.74,-2.263,4.333,0
511717.358459747,0.2,0.2,1495.0,0.21,0.14,-0.08,0.19,-0.577,4.854,0
511717.444390668,0.2,0.2,1523.0,0.11,0.12,0.0,0.11,-0.701,4.837,0
511717.540972253,0.2,0.2,1509.0,0.17,0.14,0.0,0.17,-0.239,4.882,0
511717.657851458,0.2,0.2,1523.0,0.16,0.12,-0.01,0.16,-0.098,4.888,0
511717.754232423,0.2,0.2,1495.0,0.17,0.16,0.0,0.17,0.019,4.888,0
511717.840871352,0.4,0.4,1495.0,0.19,0.16,0.01,0.19,-1.835,9.606,0
511717.959598553,0.4,0.4,3555.0,0.9,0.68,0.01,0.9,-0.713,9.754,0
511718.057023739,0.4,0.4,3809.0,0.24,0.28,0.0,0.24,-1.495,9.665,0
511718.132713604,0.4,0.4,3636.0,0.13,0.2,-0.01,0.13,-0.071,9.779,0
511718.239245666,0.4,0.4,3636.0,0.26,0.3,-0.01,0.26,-0.382,9.772,0
511718.325317637,0.4,0.4,3720.0,0.17,0.26,0.01,0.17,-0.905,9.738,0
511718.411513614,0.4,0.4,3636.0,0.16,0.24,0.02,0.16,-0.831,9.745,0
511718.488058754,0.6,0.6,3636.0,0.25,0.28,-0.02,0.25,-1.73,14.567,0
511718.576069894,0.6,0.6,5714.0,0.98,1.14,0.09,0.98,-1.103,14.618,0
511718.651637007,0.6,0.6,5714.0,0.31,0.52,0.0,0.31,-2.531,14.439,0
511718.717021462,0.6,0.6,5925.0,0.16,0.36,-0.03,0.16,-0.361,14.655,0
511718.782458858,0.6,0.6,5714.0,0.19,0.4,0.01,0.19,-2.858,14.378,0
511718.857985485,0.6,0.6,5714.0,0.27,0.48,0.0,0.27,-1.711,14.559,0
511718.933809284,0.6,0.6,5925.0,0.26,0.44,-0.05,0.26,-1.466,14.585,0
511718.999270859,0.6,0.6,5714.0,0.17,0.38,0.02,0.17,-0.507,14.651,0
511719.064731805,0.6,0.6,5714.0,0.28,0.5,-0.02,0.28,-1.984,14.525,0
511719.140845557,0.8,0.8,5925.0,0.25,0.46,0.03,0.25,-2.394,19.4,0
511719.216825294,0.8,0.8,8000.0,0.91,1.62,0.06,0.91,-3.27,19.271,0
