t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
512848.083103812,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
512848.134673555,0.2,0.2,1355.0,1.07,0.38,0.12,1.06,-1.468,4.405,0
512848.196354164,0.2,0.2,1481.0,0.19,0.16,-0.06,0.18,0.006,4.645,0
512848.278667535,0.2,0.2,1523.0,0.2,0.14,-0.02,0.2,-0.204,4.645,0
512848.340248398,0.2,0.2,1509.0,0.09,0.14,0.04,0.09,-0.924,4.56,0
512848.402168444,0.2,0.2,1481.0,0.14,0.16,-0.02,0.14,0.011,4.652,0
512848.463596073,0.2,0.2,1495.0,0.26,0.16,-0.02,0.26,0.19,4.648,0
512848.525168288,0.2,0.2,1523.0,0.15,0.14,0.04,0.14,-1.051,4.535,0
512848.587363145,0.4,0.4,1481.0,0.06,0.14,-0.02,0.06,-0.032,9.319,0
512848.649406178,0.4,0.4,3636.0,1.26,0.9,0.05,1.26,-1.353,9.229,0
512848.710894662,0.4,0.4,3636.0,0.24,0.3,0.0,0.24,-1.004,9.273,0
512848.772554452,0.4,0.4,3636.0,0.21,0.28,-0.01,0.21,-0.252,9.327,0
512848.834346282,0.4,0.4,3720.0,0.14,0.24,0.0,0.14,0.054,9.337,0
512848.895970832,0.4,0.4,3555.0,0.19,0.28,-0.01,0.19,-0.23,9.336,0
512848.957332542,0.4,0.4,3555.0,0.27,0.32,0.0,0.27,-0.418,9.329,0
512849.01892586,0.4,0.4,3636.0,0.16,0.28,0.0,0.16,-1.071,9.283,0
512849.081123435,0.6,0.6,3555.0,0.18,0.26,0.0,0.18,-0.022,14.023,0
512849.174111125,0.6,0.6,5714.0,1.1,1.28,0.04,1.1,-0.714,14.006,0
512849.235526949,0.6,0.6,5714.0,0.24,0.5,0.01,0.24,-1.401,13.963,0
512849.297113676,0.6,0.6,5714.0,0.21,0.44,-0.01,0.21,-0.135,14.044,0
512849.358674231,0.6,0.6,5714.0,0.16,0.4,0.03,0.16,-1.916,13.914,0
512849.420300699,0.6,0.6,5714.0,0.27,0.48,-0.03,0.26,-0.479,14.044,0
512849.492542532,0.6,0.6,5714.0,0.25,0.5,0.01,0.25,-2.159,13.884,0
512849.564974379,0.8,0.6,5714.0,0.19,0.42,-0.04,0.19,-1.994,13.92,0
512849.626959922,0.8,0.8,7619.0,1.11,1.82,0.08,1.1,-3.965,18.326,0
512849.688451455,0.8,0.8,7619.0,0.22,0.72,0.02,0.21,-1.424,18.71,0
512849.74990268,0.8,0.8,7619.0,0.19,0.72,0.0,0.19,-2.896,18.549,0
512849.811658011,0.8,0.8,7619.0,0.1,0.54,0.02,0.09,-1.847,18.681,0
512849.873420462,0.8,0.8,7619.0,0.17,0.66,-0.02,0.17,-1.245,18.745,0
512849.966185651,0.8,0.8,7619.0,0.18,0.68,0.0,0.18,-3.099,18.539,0
