t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
512288.776034519,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
512288.827657596,0.2,0.2,1495.0,1.02,0.38,0.11,1.01,-1.27,4.652,0
512288.93040424,0.2,0.2,1481.0,0.26,0.22,-0.06,0.25,-0.3,4.813,0
512289.022604084,0.2,0.2,1523.0,0.09,0.18,0.01,0.09,-0.593,4.786,0
512289.126281404,0.2,0.2,1495.0,0.18,0.22,0.0,0.18,-0.626,4.781,0
512289.229545018,0.4,0.4,1568.0,0.13,0.22,0.0,0.13,-1.082,9.592,0
512289.32222423,0.4,0.4,3636.0,0.92,0.76,0.02,0.92,-0.734,9.625,0
512289.404061477,0.4,0.4,3720.0,0.26,0.34,0.01,0.26,-1.146,9.584,0
512289.486073176,0.4,0.4,3720.0,0.15,0.28,0.0,0.15,-0.722,9.625,0
512289.588905479,0.4,0.4,3636.0,0.22,0.32,-0.02,0.22,-0.118,9.658,0
512289.692277238,0.6,0.6,3636.0,0.22,0.34,0.02,0.22,-3.182,14.134,0
512289.805381015,0.6,0.6,5714.0,0.69,0.94,0.01,0.69,-0.12,14.488,0
512289.918036658,0.6,0.6,5925.0,0.26,0.52,0.03,0.25,-1.784,14.378,0
512290.010321306,0.6,0.6,5714.0,0.18,0.46,-0.04,0.18,-1.636,14.396,0
512290.092318691,0.6,0.6,5925.0,0.28,0.56,0.04,0.27,-2.111,14.334,0
512290.19541143,0.8,0.8,5714.0,0.22,0.48,-0.03,0.22,-2.341,19.191,0
512290.298217282,0.8,0.8,7619.0,0.8,1.5,0.08,0.8,-1.29,19.29,0
512290.380048479,0.8,0.8,8000.0,0.2,0.76,0.0,0.2,-1.475,19.264,0
512290.472156538,0.8,0.8,8000.0,0.14,0.66,-0.02,0.14,-3.297,19.036,0
512290.57505253,0.8,0.8,8000.0,0.18,0.72,0.01,0.18,-1.307,19.275,0
