t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
512655.202357898,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
512655.253935327,0.2,0.2,1221.0,1.11,0.42,0.11,1.11,-1.374,4.615,0
512655.31764111,0.2,0.2,1481.0,0.21,0.2,-0.05,0.21,-0.808,4.748,0
512655.379207945,0.2,0.2,1523.0,0.13,0.18,-0.02,0.13,0.151,4.813,0
512655.440976587,0.2,0.2,1553.0,0.15,0.18,-0.02,0.15,-0.111,4.815,0
512655.502905993,0.2,0.2,1481.0,0.13,0.18,0.04,0.12,-0.677,4.77,0
512655.564639072,0.2,0.2,1467.0,0.18,0.22,-0.02,0.18,-0.07,4.818,0
512655.626242115,0.2,0.2,1509.0,0.2,0.2,-0.03,0.2,0.172,4.816,0
512655.688457164,0.4,0.4,1509.0,0.12,0.18,0.04,0.11,-0.634,9.621,0
512655.750416433,0.4,0.4,3555.0,1.28,0.96,0.01,1.28,-0.954,9.594,0
512655.812209904,0.4,0.4,3555.0,0.24,0.34,-0.01,0.24,-0.714,9.614,0
512655.873780858,0.4,0.4,3636.0,0.21,0.34,0.0,0.21,-1.209,9.571,0
512655.935479674,0.4,0.4,3720.0,0.11,0.26,0.01,0.1,-0.788,9.615,0
512655.997373884,0.4,0.4,3636.0,0.19,0.32,0.0,0.19,0.098,9.647,0
512656.0590674,0.4,0.4,3555.0,0.26,0.38,0.01,0.26,-0.395,9.64,0
512656.122365094,0.4,0.4,3636.0,0.19,0.34,-0.02,0.19,-1.196,9.573,0
512656.195067088,0.6,0.4,3636.0,0.15,0.28,0.0,0.15,-0.275,9.648,0
512656.257149521,0.6,0.6,5714.0,1.17,1.36,0.03,1.17,-1.403,14.41,0
512656.318536937,0.6,0.6,5714.0,0.28,0.56,0.01,0.28,-0.796,14.456,0
512656.379925284,0.6,0.6,5714.0,0.24,0.52,0.0,0.24,-0.482,14.471,0
512656.441650184,0.6,0.6,5714.0,0.14,0.42,-0.01,0.14,-0.628,14.465,0
512656.503314475,0.6,0.6,5714.0,0.21,0.5,0.0,0.21,-0.738,14.46,0
512656.585709626,0.6,0.6,5714.0,0.26,0.56,0.0,0.26,-1.661,14.382,0
512656.647918703,0.8,0.8,5925.0,0.27,0.54,0.05,0.27,-5.027,18.64,0
512656.782069306,0.8,0.8,7619.0,0.79,1.54,-0.01,0.79,-3.058,19.062,0
512656.854065035,0.8,0.8,8000.0,0.24,0.76,-0.01,0.24,-4.056,18.876,0
512656.915936762,0.8,0.8,7619.0,0.1,0.6,-0.01,0.1,-4.054,18.876,0
512656.998186245,0.8,0.8,7619.0,0.15,0.68,0.01,0.15,-4.165,18.852,0
512657.070115948,0.8,0.8,7619.0,0.2,0.74,0.0,0.2,-1.5,19.247,0
