t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
511995.505747924,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
511995.557399008,0.2,0.2,1509.0,0.72,0.3,0.02,0.72,-0.117,4.643,0
511995.732145228,0.2,0.2,1523.0,0.18,0.16,0.0,0.18,-0.604,4.609,0
511995.907557533,0.2,0.2,1481.0,0.17,0.16,0.0,0.17,-0.966,4.554,0
511996.064859486,0.4,0.4,1509.0,0.21,0.18,0.0,0.21,-1.849,9.135,0
511996.221088705,0.4,0.4,3636.0,0.69,0.58,0.0,0.69,-0.757,9.3,0
511996.354868696,0.4,0.4,3720.0,0.18,0.28,0.0,0.18,-1.17,9.264,0
511996.488821672,0.4,0.4,3636.0,0.21,0.3,0.0,0.21,-0.627,9.324,0
511996.623061121,0.6,0.4,3636.0,0.19,0.3,0.02,0.19,-0.72,9.321,0
511996.726591402,0.6,0.6,5714.0,0.7,0.82,0.01,0.7,-2.274,13.849,0
511996.839416931,0.6,0.6,5714.0,0.26,0.5,0.03,0.26,-1.406,13.973,0
511996.932032549,0.6,0.6,5714.0,0.2,0.46,-0.02,0.2,-2.678,13.793,0
511997.045097855,0.6,0.6,5714.0,0.22,0.48,0.01,0.22,-2.853,13.769,0
511997.138374879,0.8,0.8,5925.0,0.27,0.52,0.03,0.27,-3.034,18.518,0
511997.240775624,0.8,0.8,8000.0,0.75,1.44,0.01,0.75,-3.588,18.418,0
511997.333311128,0.8,0.8,8000.0,0.19,0.7,0.02,0.18,-3.14,18.508,0
511997.446736211,0.8,0.8,8000.0,0.16,0.64,-0.04,0.15,-3.643,18.417,0
511997.528912851,0.8,0.8,8000.0,0.19,0.68,0.01,0.19,-1.435,18.717,0
