t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
512362.855420889,0.2,0.0,0.0,0.01,0.0,0.0,-0.01,0.0,0.0,0
512362.907137317,0.2,0.2,1509.0,1.16,0.36,0.09,1.16,-1.18,4.682,0
512363.030310773,0.2,0.2,1553.0,0.21,0.12,-0.03,0.21,-0.736,4.771,0
512363.133060326,0.2,0.2,1538.0,0.09,0.12,0.0,0.09,-0.261,4.82,0
512363.246240291,0.2,0.2,1538.0,0.23,0.14,-0.01,0.23,-0.122,4.831,0
512363.380379382,0.4,0.4,1523.0,0.27,0.18,0.01,0.27,-1.729,9.51,0
512363.483914533,0.4,0.4,3720.0,0.66,0.54,0.02,0.66,-0.795,9.633,0
512363.576419934,0.4,0.4,3720.0,0.22,0.26,0.0,0.22,-0.73,9.639,0
512363.658598673,0.4,0.4,3720.0,0.17,0.22,-0.02,0.17,-1.323,9.58,0
512363.761566797,0.4,0.4,3720.0,0.22,0.26,0.01,0.22,-1.116,9.606,0
512363.885087923,0.6,0.6,4102.0,0.3,0.34,0.0,0.3,-2.6,14.271,0
512363.990671508,0.6,0.6,5714.0,0.73,0.94,0.03,0.73,-1.392,14.439,0
512364.08304196,0.6,0.6,5925.0,0.27,0.46,0.0,0.27,-2.029,14.363,0
512364.185680717,0.6,0.6,5925.0,0.17,0.36,-0.03,0.17,-2.147,14.356,0
512364.278772339,0.6,0.6,5925.0,0.26,0.46,0.02,0.26,-2.306,14.331,0
512364.371971621,0.8,0.8,5925.0,0.23,0.42,0.02,0.23,-3.399,19.056,0
512364.484841532,0.8,0.8,8000.0,0.81,1.44,0.01,0.81,-1.514,19.311,0
512364.577632593,0.8,0.8,8000.0,0.19,0.64,0.03,0.19,-2.6,19.196,0
512364.670263132,0.8,0.8,8000.0,0.14,0.56,0.0,0.14,-1.909,19.275,0
512364.773239029,0.8,0.8,8000.0,0.23,0.68,-0.02,0.23,-0.556,19.362,0
