t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
512132.823788489,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
512132.875518046,0.2,0.2,1454.0,1.09,0.42,0.1,1.09,-0.797,4.744,0
512132.957585943,0.2,0.2,1523.0,0.21,0.22,-0.06,0.2,0.102,4.812,0
512133.050034221,0.2,0.2,1538.0,0.13,0.2,0.01,0.13,-0.421,4.795,0
512133.152941611,0.2,0.2,1509.0,0.16,0.2,-0.01,0.16,0.077,4.812,0
512133.235061274,0.2,0.2,1509.0,0.18,0.22,0.0,0.18,0.243,4.809,0
512133.328073536,0.4,0.4,1538.0,0.17,0.2,0.0,0.17,-0.035,9.633,0
512133.421088411,0.4,0.4,3636.0,0.97,0.8,0.04,0.97,-0.206,9.632,0
512133.493267228,0.4,0.4,3636.0,0.23,0.36,0.0,0.23,-0.921,9.589,0
512133.575556168,0.4,0.4,3720.0,0.18,0.3,-0.01,0.18,-0.215,9.632,0
512133.678633686,0.4,0.4,3555.0,0.21,0.34,-0.01,0.21,-0.361,9.635,0
512133.782063387,0.6,0.6,3720.0,0.24,0.36,0.0,0.24,-1.176,14.413,0
512133.885154598,0.6,0.6,5714.0,0.68,0.94,0.05,0.68,-1.479,14.385,0
512134.018591558,0.6,0.6,5925.0,0.26,0.54,-0.03,0.26,-1.788,14.351,0
512134.111068969,0.6,0.6,5714.0,0.19,0.48,0.01,0.19,-1.646,14.377,0
512134.234694421,0.8,0.8,5925.0,0.27,0.56,0.0,0.27,-3.904,18.897,0
512134.337671181,0.8,0.8,8000.0,0.72,1.42,0.05,0.72,-1.948,19.199,0
512134.450524863,0.8,0.8,8000.0,0.22,0.78,0.0,0.22,-1.826,19.21,0
512134.54303386,0.8,0.8,8000.0,0.16,0.7,0.0,0.16,-3.907,18.897,0
512134.666213806,0.8,0.8,8000.0,0.21,0.76,0.0,0.21,-2.941,19.081,0
