t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
512516.17006982,0.2,0.0,0.0,0.02,0.0,0.0,-0.02,0.0,0.0,0
512516.221650906,0.2,0.2,1538.0,1.15,0.34,0.12,1.15,-1.502,4.651,0
512516.344967106,0.2,0.2,1568.0,0.21,0.12,-0.04,0.2,-0.728,4.834,0
512516.468530341,0.2,0.2,1538.0,0.1,0.1,-0.02,0.1,0.166,4.886,0
512516.612775241,0.2,0.2,1584.0,0.19,0.12,0.0,0.19,0.169,4.886,0
512516.767560171,0.4,0.4,1600.0,0.22,0.16,0.02,0.22,-2.24,9.513,0
512516.943014268,0.4,0.4,3720.0,0.62,0.5,-0.02,0.62,-0.867,9.735,0
512517.066434372,0.4,0.4,3809.0,0.17,0.24,0.02,0.17,-0.961,9.726,0
512517.180046585,0.4,0.4,3720.0,0.22,0.26,-0.01,0.22,-0.198,9.77,0
512517.315106665,0.6,0.6,4705.0,0.4,0.42,0.08,0.39,-4.092,14.078,0
512517.427984647,0.6,0.6,5925.0,0.59,0.78,-0.07,0.59,-2.701,14.408,0
512517.52040334,0.6,0.6,5925.0,0.21,0.4,0.02,0.2,-1.677,14.564,0
512517.633688564,0.6,0.6,5925.0,0.18,0.38,0.0,0.18,-1.319,14.6,0
512517.726012128,0.6,0.6,5925.0,0.29,0.48,-0.02,0.29,-1.926,14.525,0
512517.819109527,0.8,0.8,5925.0,0.21,0.42,0.02,0.21,-4.237,19.073,0
512517.933648502,0.8,0.8,8000.0,0.72,1.32,0.03,0.72,-1.274,19.497,0
512518.026675286,0.8,0.8,8000.0,0.18,0.64,0.01,0.18,-3.5,19.223,0
512518.139894884,0.8,0.8,8000.0,0.17,0.6,-0.02,0.17,-4.321,19.055,0
512518.232677053,0.8,0.8,8000.0,0.2,0.66,0.01,0.2,-3.111,19.289,0
