t,cmd_duty,actual_duty,erpm,imotor,iin,id,iq,vd,vq,fault
511730.558825129,0.2,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0
511730.603680089,0.2,0.2,0.0,1.45,0.38,0.16,1.44,-1.622,4.612,0
511730.658953472,0.2,0.2,1454.0,0.31,0.12,-0.12,0.29,-0.039,4.888,0
511730.714151478,0.2,0.2,1481.0,0.22,0.1,0.0,0.22,-0.415,4.871,0
511730.769409938,0.2,0.2,1481.0,0.12,0.08,0.03,0.11,-1.007,4.784,0
511730.82501891,0.2,0.2,1495.0,0.12,0.08,0.01,0.12,-0.776,4.827,0
511730.880934223,0.2,0.2,1441.0,0.2,0.1,-0.01,0.2,-0.388,4.873,0
511730.936053832,0.2,0.2,1481.0,0.22,0.1,-0.03,0.22,-0.1,4.888,0
511730.981399969,0.2,0.2,1509.0,0.12,0.08,0.0,0.12,-0.125,4.888,0
511731.036558796,0.2,0.2,1481.0,0.21,0.1,-0.01,0.21,0.057,4.888,0
511731.091562002,0.2,0.2,1441.0,0.28,0.1,0.0,0.28,-0.223,4.884,0
511731.14640178,0.2,0.2,1467.0,0.2,0.1,0.02,0.2,-0.738,4.832,0
511731.20197,0.4,0.4,1495.0,0.13,0.1,0.03,0.13,-1.361,9.684,0
511731.258850065,0.4,0.4,3555.0,1.47,0.88,0.03,1.47,-0.672,9.758,0
511731.313800365,0.4,0.4,3478.0,0.32,0.28,0.02,0.32,-1.51,9.663,0
511731.36895687,0.4,0.4,3555.0,0.28,0.24,-0.04,0.27,-1.864,9.6,0
511731.42429267,0.4,0.4,3478.0,0.28,0.22,-0.03,0.28,-0.882,9.74,0
511731.479589273,0.4,0.4,3636.0,0.16,0.18,0.01,0.16,-0.073,9.779,0
511731.534620966,0.4,0.4,3478.0,0.18,0.2,0.02,0.18,-1.012,9.727,0
511731.589619792,0.4,0.4,3478.0,0.3,0.24,0.0,0.3,-2.045,9.564,0
511731.644519723,0.4,0.4,3478.0,0.29,0.24,-0.01,0.29,-1.327,9.69,0
511731.699664932,0.4,0.4,3478.0,0.22,0.22,0.01,0.22,-0.289,9.776,0
511731.754606772,0.4,0.4,3555.0,0.21,0.22,0.01,0.21,-1.06,9.722,0
511731.810065934,0.6,0.6,3555.0,0.23,0.22,0.0,0.23,-1.216,14.619,0
511731.864699472,0.6,0.6,5517.0,1.47,1.4,0.07,1.47,-4.005,14.112,0
511731.919842913,0.6,0.6,5517.0,0.33,0.44,0.03,0.33,-2.98,14.363,0
511731.974827907,0.6,0.6,5517.0,0.33,0.4,-0.05,0.33,-0.322,14.667,0
511732.029926722,0.6,0.6,5517.0,0.37,0.44,-0.03,0.37,-2.349,14.481,0
511732.085086513,0.6,0.6,5714.0,0.24,0.34,0.09,0.22,-2.868,14.386,0
511732.140272821,0.6,0.6,5517.0,0.22,0.3,-0.03,0.22,-0.72,14.643,0
511732.195171232,0.6,0.6,5517.0,0.36,0.44,-0.08,0.35,-2.469,14.449,0
511732.250548488,0.6,0.6,5517.0,0.31,0.42,0.08,0.3,-3.127,14.323,0
511732.305565258,0.6,0.6,5517.0,0.34,0.42,0.0,0.34,-1.013,14.625,0
511732.353167255,0.6,0.6,5517.0,0.33,0.44,-0.04,0.33,-2.32,14.474,0
511732.407865251,0.6,0.6,5517.0,0.25,0.34,0.0,0.25,-0.858,14.634,0
511732.463284059,0.8,0.6,5714.0,0.27,0.36,0.0,0.27,-3.407,14.258,0
511732.518090491,0.8,0.8,7619.0,1.42,1.92,0.13,1.42,-1.757,19.468,0
