case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.00018207298126071692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.0737422649981454,0.0,0.0,0.0,0.0,0.02,-0.003,-0.123,-0.061,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.14722441096091643,0.0,0.01,-0.02,0.03,0.08,-0.003,-0.115,0.072,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.22087099100463092,0.0,0.05,-0.1,0.11,0.02,-0.004,-0.112,0.142,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.29455227695871145,0.0,0.02,0.0,0.02,0.0,-0.004,-0.042,0.163,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.3680520759662613,0.0,0.04,0.0,0.04,0.02,-0.005,-0.042,0.201,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.44157681096112356,0.0,0.02,0.0,0.02,0.04,-0.004,-0.021,0.182,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.515626622014679,0.0,0.01,0.01,0.02,0.18,0.005,0.203,0.099,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.5894405859871767,0.0,0.02,0.0,0.02,0.0,0.009,0.378,-0.013,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.6627862639725208,0.0,0.03,0.01,0.03,0.02,0.011,0.455,-0.091,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.7362344239954837,0.0,0.03,0.0,0.03,0.04,0.013,0.536,-0.147,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.8097778760129586,0.0,0.03,0.0,0.03,0.0,0.015,0.619,-0.179,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.8837469869758934,0.0,0.03,0.0,0.03,0.06,0.018,0.745,-0.222,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,250.0,run,0.9573347449768335,0.0,0.03,0.0,0.03,0.04,0.021,0.879,-0.257,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,1.769978553056717e-06,0.0,0.03,0.0,0.03,0.18,0.025,1.008,-0.303,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.08409045002190396,0.0,0.03,0.0,0.03,0.04,0.023,0.949,-0.303,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.15822712500812486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.23201515997061506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.30535193701507524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.37873062101425603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.452559415018186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.5266918580164202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.6003499709768221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.002_ki0.002_kd0_+250,left,0.002,0.002,0,0,stop,0.6741170029854402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
