abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.0095_ki0.022_kd0_+150_r1,0,0,4464,0.0,0.022,0.0095,0.21,0.0,left,0.0,0.25,0.059,0.0,0.25,12,0,1,,0,0.0,-100.0,0.0,0.0,150.0
,left_kp0.0095_ki0.022_kd0_-150_r1,0,0,4464,0.0,0.022,0.0095,0.26,-0.0,left,0.0,0.26,0.043,-0.0,0.26,12,0,1,,0,0.0,-100.0,0.0,0.0,-150.0
,left_kp0.0095_ki0.022_kd0_+150_r2,0,0,4464,0.0,0.022,0.0095,0.25,0.0,left,0.0,0.25,0.049,0.0,0.25,12,0,2,,0,0.0,-100.0,0.0,0.0,150.0
,left_kp0.0095_ki0.022_kd0_-150_r2,0,0,4464,0.0,0.022,0.0095,0.28,-0.0,left,0.0,0.28,0.046,-0.0,0.28,12,0,2,,0,0.0,-100.0,0.0,0.0,-150.0
,left_kp0.0095_ki0.022_kd0_+300_r1,0,0,4464,0.0,0.022,0.0095,0.14,0.0,left,19.333333333333332,0.28,0.079,358.0,0.28,12,0,1,0.7296095930505544,0,257.4,-14.200000000000006,13.275541420220872,0.0,300.0
,left_kp0.0095_ki0.022_kd0_-300_r1,0,0,4464,0.0,0.022,0.0095,0.14,-0.0,left,7.000000000000001,0.26,0.077,321.0,0.26,12,0,1,0.5980830130283721,0,180.2,-39.93333333333334,40.1018702805742,0.0,-300.0
,left_kp0.0095_ki0.022_kd0_+300_r2,0,0,4464,0.0,0.022,0.0095,0.17,0.0,left,0.0,0.26,0.07,277.0,0.26,12,0,2,0.795756841020193,0,248.4,-17.2,7.914543574963751,0.0,300.0
,left_kp0.0095_ki0.022_kd0_-300_r2,0,0,4464,0.0,0.022,0.0095,0.25,-0.0,left,39.666666666666664,0.39,0.083,419.0,0.39,13,0,2,0.8637467339867726,0,359.8,19.933333333333337,39.6050501830259,0.0,-300.0
,left_kp0.0095_ki0.022_kd0_+450_r1,0,0,4464,0.0,0.022,0.0095,0.13,0.0,left,0.0,0.34,0.084,438.0,0.33,13,0,1,0.5311273189727217,0,410.4,-8.800000000000004,10.669582934679312,0.0,450.0
,left_kp0.0095_ki0.022_kd0_-450_r1,0,0,4464,0.0,0.022,0.0095,0.15999999999999998,-0.0,left,0.0,0.33,0.088,446.0,0.32,13,0,1,0.5305005849804729,0,439.2,-2.4000000000000026,1.1661903789690602,0.0,-450.0
,left_kp0.0095_ki0.022_kd0_+450_r2,0,0,4464,0.0,0.022,0.0095,0.19,0.0,left,0.0,0.32,0.084,435.0,0.32,13,0,2,0.5974601859925315,0,411.4,-8.577777777777783,16.930445948054647,0.0,450.0
,left_kp0.0095_ki0.022_kd0_-450_r2,0,0,4464,0.0,0.022,0.0095,0.19999999999999998,-0.0,left,0.0,0.33,0.084,419.0,0.32,13,0,2,0.5305471020401455,0,405.2,-9.955555555555557,10.647065323364933,0.0,-450.0
