test,motor,sign,amps,phase,t,erpm,iq,imotor,duty,fault
brake,left,1,0.2,drive,0.020483806962147355,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,drive,0.08598757401341572,0.0,0.01,0.03,-0.018,0
brake,left,1,0.2,drive,0.15149325097445399,0.0,0.03,0.04,0.023,0
brake,left,1,0.2,drive,0.21715183998458087,0.0,0.13,0.13,0.032,0
brake,left,1,0.2,drive,0.28266357898246497,0.0,0.22,0.22,0.045,0
brake,left,1,0.2,drive,0.3483402620186098,0.0,0.21,0.21,0.062,0
brake,left,1,0.2,drive,0.4138651699759066,0.0,0.26,0.28,0.078,0
brake,left,1,0.2,drive,0.4793900959775783,359.0,0.3,0.3,0.079,0
brake,left,1,0.2,drive,0.5448675740044564,422.0,0.14,0.15,0.083,0
brake,left,1,0.2,drive,0.610451229964383,401.0,0.18,0.2,0.078,0
brake,left,1,0.2,drive,0.6759104459779337,392.0,0.18,0.19,0.076,0
brake,left,1,0.2,drive,0.7414161380147561,360.0,0.16,0.16,0.079,0
brake,left,1,0.2,drive,0.8068865200038999,383.0,0.18,0.18,0.078,0
brake,left,1,0.2,drive,0.8724747849628329,376.0,0.16,0.18,0.081,0
brake,left,1,0.2,drive,0.938206831982825,408.0,0.23,0.23,0.08,0
brake,left,1,0.2,drive,1.0037008199724369,405.0,0.17,0.17,0.084,0
brake,left,1,0.2,drive,1.0691503639682196,414.0,0.18,0.2,0.083,0
brake,left,1,0.2,drive,1.134647466999013,419.0,0.11,0.12,0.084,0
brake,left,1,0.2,drive,1.200331544969231,425.0,0.25,0.25,0.083,0
brake,left,1,0.2,drive,1.2661018520011567,437.0,0.22,0.23,0.083,0
brake,left,1,0.2,brake,0.020660261972807348,426.0,0.19,0.19,-0.001,0
brake,left,1,0.2,brake,0.08636125701013952,364.0,-0.05,0.07,-0.039,0
brake,left,1,0.2,brake,0.15214292897144333,-261.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.21784335299162194,-261.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.28346427099313587,-261.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.34932962601305917,-261.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.41501199395861477,-261.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.48077048698905855,-261.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.5464667369960807,-261.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.6121049159555696,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.6778201629640535,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.7436092349817045,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.809590085002128,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.8752783329691738,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.9409639359801076,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.006708416971378,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.0723920799791813,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.1380872079753317,0.0,0.0,0.0,0.0,0
