abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,ramp,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,right_ramp900_+300_r1,0,0,4464,0.0,0.02,0.0095,0.19,0.0,right,21.333333333333336,0.32,0.079,364.0,0.32,52,0,900,1,0.9287737990380265,0,290.2,-3.2666666666666706,5.635601121442148,0.0,300
,right_ramp900_-300_r1,0,0,4464,0.0,0.02,0.0095,0.15,-0.0,right,20.0,0.32,0.079,360.0,0.32,53,0,900,1,0.929210576985497,0,288.4,-3.8666666666666747,6.945502141674136,0.0,-300
,right_ramp900_+300_r2,0,0,4464,0.0,0.02,0.0095,0.14,0.0,right,21.333333333333336,0.34,0.078,364.0,0.34,53,0,900,2,0.8631353229866363,0,290.6,-3.1333333333333253,5.462600113499065,0.0,300
,right_ramp900_-300_r2,0,0,4464,0.0,0.02,0.0095,0.15,-0.0,right,28.666666666666668,0.32,0.079,386.0,0.32,54,0,900,2,0.9294014949700795,0,287.6,-4.133333333333326,5.4258639865002145,0.0,-300
,right_ramp1200_+300_r1,0,0,4464,0.0,0.02,0.0095,0.16,0.0,right,32.33333333333333,0.33,0.082,397.0,0.33,54,0,1200,1,0.8617187270428985,0,290.2,-3.2666666666666706,4.664761515876241,0.0,300
,right_ramp1200_-300_r1,0,0,4464,0.0,0.02,0.0095,0.19,-0.0,right,17.666666666666668,0.29,0.079,353.0,0.29,55,0,1200,1,0.928593534976244,0,284.4,-5.200000000000007,6.2801273872430325,0.0,-300
,right_ramp1200_+300_r2,0,0,4464,0.0,0.02,0.0095,0.15,0.0,right,41.66666666666667,0.4,0.083,425.0,0.4,56,0,1200,2,0.9292298320215195,0,294.0,-2.0,2.756809750418044,0.0,300
,right_ramp1200_-300_r2,0,0,4464,0.0,0.02,0.0095,0.19,-0.0,right,21.666666666666668,0.37,0.077,365.0,0.36,57,0,1200,2,0.9280796679668128,0,282.4,-5.866666666666674,5.083306010855534,0.0,-300
,right_ramp1500_+300_r1,0,0,4464,0.0,0.02,0.0095,0.15000000000000002,0.0,right,40.33333333333333,0.28,0.085,421.0,0.28,58,0,1500,1,0.9283995080040768,0,291.0,-3.0,3.1622776601683795,0.0,300
,right_ramp1500_-300_r1,0,0,4464,0.0,0.02,0.0095,0.13,-0.0,right,21.333333333333336,0.35,0.08,364.0,0.35,59,0,1500,1,0.8621389880427159,0,281.8,-6.066666666666663,6.734983296193095,0.0,-300
,right_ramp1500_+300_r2,0,0,4464,0.0,0.02,0.0095,0.14,0.0,right,37.0,0.32,0.084,411.0,0.32,60,0,1500,2,0.9288844810216688,0,290.0,-3.3333333333333335,3.8987177379235853,0.0,300
,right_ramp1500_-300_r2,0,0,4464,0.0,0.02,0.0095,0.15999999999999998,-0.0,right,20.666666666666668,0.3,0.08,362.0,0.3,61,0,1500,2,0.9261925600003451,0,284.2,-5.26666666666667,6.1773780845922,0.0,-300
