case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.0001587779843248427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.06634367600781843,0.0,0.0,0.14,0.14,0.12,-0.058,-0.029,-2.117,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.14315148699097335,0.0,0.02,0.0,0.03,0.16,0.06,1.179,-1.868,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.2199005099828355,0.0,0.49,0.01,0.49,0.22,0.176,6.047,-2.232,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.29632962599862367,914.0,-0.28,-0.1,0.3,0.86,0.038,0.085,-1.396,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.43336458498379216,1355.0,-0.12,0.0,0.12,0.58,-0.088,-3.211,-0.294,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,1.1149677447974682e-06,941.0,-0.04,0.01,0.04,0.42,-0.125,-4.543,-0.581,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.19738575298106298,-509.0,-0.29,0.02,0.29,0.6,0.102,3.592,-1.05,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.3343205179553479,744.0,0.03,-0.02,0.04,0.64,0.032,0.407,-1.103,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.4611607620026916,1600.0,0.76,0.14,0.78,0.8,0.534,17.939,-7.76,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.5374104279908352,8000.0,2.46,0.19,2.46,4.16,1.0,36.123,-5.683,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.6238023769692518,8421.0,-0.44,-0.1,0.45,1.2,1.0,36.33,-4.32,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.7102101129712537,8421.0,-0.62,0.0,0.62,0.96,1.0,36.147,-5.543,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.7965955979889259,8421.0,-0.47,0.04,0.47,1.1,1.0,36.043,-6.175,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,-300,run,0.00015656097093597054,8421.0,-0.51,-0.01,0.51,1.05,1.0,36.103,-5.923,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,1.13598071038723e-06,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.0862232240033336,7272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.15234278503339738,6666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.21858256298583,6153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.2848149799974635,5517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.35117188101867214,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.4173847580095753,4444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.48350744403433055,3902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.5496191839920357,3404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.6157416850328445,2909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.6818705080077052,2388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_-300_r1,left,0.009,0.02,0.0,0,stop,0.748108834028244,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,300,run,0.00012562901247292757,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,300,run,0.0663056019693613,-864.0,-0.17,0.05,0.18,0.68,0.196,7.165,0.064,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,300,run,0.2037096309941262,273.0,0.61,0.0,0.61,0.38,0.158,5.65,-1.263,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,300,run,0.2903398940106854,-490.0,-0.65,0.0,0.65,0.3,0.046,1.089,-1.268,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,300,run,0.3767692690016702,1777.0,-0.76,-0.09,0.76,1.02,-0.156,-5.519,1.402,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,1.343956682831049e-06,-1568.0,-1.59,0.01,1.59,1.44,0.218,7.827,1.464,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,0.13747034495463595,1777.0,-1.24,-0.01,1.24,1.34,-0.204,-7.232,1.796,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,0.2649290219997056,-1538.0,-1.22,0.01,1.22,1.17,0.154,5.626,0.109,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,0.3823598059825599,-1454.0,-1.3,0.17,1.31,1.3,-0.555,-19.79,-4.582,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,0.4895175249548629,-8000.0,-2.34,0.3,2.36,4.46,-1.0,-35.725,-7.891,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,0.5765617889701389,-8000.0,0.61,-0.13,0.62,1.28,-1.0,-35.95,-6.796,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,0.6635625399649143,-8421.0,0.64,-0.01,0.64,1.16,-1.0,-35.507,-9.033,0
left_ramp600_+300_r2,left,0.009,0.02,0.0,0,stop,0.75053887499962,-8421.0,0.88,0.01,0.88,0.92,-1.0,-35.641,-8.481,0
