test,motor,sign,amps,phase,t,erpm,iq,imotor,duty,fault
brake,left,1,0.2,drive,0.02095759497024119,0.0,0.0,0.0,0.0,0
brake,left,1,0.2,drive,0.1070780599839054,0.0,0.02,0.06,0.098,0
brake,left,1,0.2,drive,0.2034547639777884,0.0,1.4,1.4,0.085,0
brake,left,1,0.2,brake,0.06166590203065425,1269.0,0.24,0.24,-0.113,0
brake,left,1,0.2,brake,0.14764049800578505,-5517.0,-4.28,4.3,-0.861,0
brake,left,1,0.2,brake,0.23366197699215263,-8000.0,-0.69,0.7,-1.0,0
brake,left,1,0.2,brake,0.3198989439988509,-8000.0,0.77,0.77,-1.0,0
brake,left,1,0.2,brake,0.3956556760240346,-8421.0,0.8,0.81,-1.0,0
brake,left,1,0.2,brake,0.481683892023284,-8000.0,0.71,0.72,-1.0,0
brake,left,1,0.2,brake,0.5678030870039947,-8000.0,0.68,0.68,-1.0,0
brake,left,1,0.2,brake,0.6539688530028798,-8000.0,0.76,0.76,-0.996,0
brake,left,1,0.2,brake,0.719556042982731,-7619.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.7852924879989587,-6956.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.8515237520332448,-6400.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.9202069120365195,-5925.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,0.9860091140144505,-5333.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.0522081810049713,-4705.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.118156357028056,-4210.0,0.0,0.0,0.0,0
brake,left,1,0.2,brake,1.1838762600091286,-3720.0,0.0,0.0,0.0,0
brake,left,1,0.4,drive,0.010898632986936718,-1481.0,0.0,0.0,0.0,0
brake,left,1,0.4,brake,0.04113919596420601,-981.0,-0.07,0.07,-0.085,0
brake,left,1,0.4,brake,0.11708379496121779,-3902.0,-1.63,1.65,-0.591,0
brake,left,1,0.4,brake,0.20328144199447706,-6956.0,-1.32,1.33,-0.92,0
brake,left,1,0.4,brake,0.2894917849916965,-8421.0,-0.05,0.05,-1.0,0
brake,left,1,0.4,brake,0.3654861209797673,-8000.0,0.8,0.8,-0.972,0
brake,left,1,0.4,brake,0.4415189809515141,-8000.0,0.47,0.48,-0.918,0
brake,left,1,0.4,brake,0.5175920989713632,-7272.0,0.31,0.31,-0.908,0
brake,left,1,0.4,brake,0.6036720429547131,-6666.0,0.25,0.25,-0.82,0
brake,left,1,0.4,brake,0.679484017950017,-6153.0,0.23,0.23,-0.724,0
brake,left,1,0.4,brake,0.75539518694859,-5333.0,0.21,0.21,-0.637,0
brake,left,1,0.4,brake,0.831505338952411,-4705.0,0.18,0.18,-0.555,0
brake,left,1,0.4,brake,0.907455823966302,-4000.0,0.2,0.2,-0.461,0
brake,left,1,0.4,brake,0.9832505799713545,-3200.0,0.16,0.16,-0.355,0
brake,left,1,0.4,brake,1.0589354729745537,-2461.0,0.2,0.2,-0.265,0
brake,left,1,0.4,brake,1.1349289309582673,-1739.0,0.13,0.13,-0.152,0
brake,left,1,0.4,brake,1.210840321960859,-1081.0,0.22,0.22,-0.066,0
brake,left,-1,0.2,drive,0.010606480005662888,-689.0,0.0,0.0,0.0,0
brake,left,-1,0.2,drive,0.10694482398685068,28.0,0.23,0.25,-0.124,0
brake,left,-1,0.2,drive,0.22366091300500557,-733.0,-0.24,0.25,0.024,0
brake,left,-1,0.2,drive,0.340154850971885,-511.0,-0.15,0.15,-0.12,0
brake,left,-1,0.2,drive,0.4566128560109064,-477.0,0.04,0.08,0.061,0
brake,left,-1,0.2,drive,0.5530390460044146,-477.0,0.18,0.18,0.057,0
brake,left,-1,0.2,drive,0.6594552550232038,-477.0,0.24,0.24,0.059,0
brake,left,-1,0.2,drive,0.7658158279955387,-477.0,0.29,0.29,0.06,0
brake,left,-1,0.2,drive,0.8619837010046467,-477.0,0.34,0.34,0.062,0
brake,left,-1,0.2,drive,0.9578815529821441,-62.0,-2.27,2.27,-0.122,0
brake,left,-1,0.2,brake,0.030709022015798837,-290.0,-2.24,2.24,-0.018,0
brake,left,-1,0.2,brake,0.10657635401003063,-408.0,-1.06,1.07,-0.119,0
brake,left,-1,0.2,brake,0.18251363700255752,-846.0,-0.49,0.49,-0.127,0
brake,left,-1,0.2,brake,0.2585566590423696,-689.0,-0.03,0.12,-0.044,0
brake,left,-1,0.2,brake,0.3345253340085037,-565.0,0.2,0.2,-0.047,0
brake,left,-1,0.2,brake,0.40028889203676954,-565.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.46721151104429737,-565.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.5329734720289707,-565.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.5987149580032565,-565.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.6648667849949561,-565.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.7305662580183707,-565.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.7963587720296346,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.8624017400434241,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.9281356889987364,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,0.9937726550269872,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,1.0596688080113381,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,1.1253920340095647,0.0,0.0,0.0,0.0,0
brake,left,-1,0.2,brake,1.191113145032432,0.0,0.0,0.0,0.0,0
brake,left,-1,0.4,drive,0.010632908961270005,0.0,0.0,0.0,0.0,0
brake,left,-1,0.4,drive,0.09668831899762154,-29.0,0.06,0.09,-0.089,0
brake,left,-1,0.4,drive,0.19302921299822628,-109.0,-1.0,1.0,-0.088,0
brake,left,-1,0.4,drive,0.28911878197686747,-455.0,-0.77,0.77,0.017,0
brake,left,-1,0.4,drive,0.3853448629961349,-455.0,-0.16,0.16,0.043,0
brake,left,-1,0.4,drive,0.4816095469868742,-455.0,-0.19,0.19,0.041,0
brake,left,-1,0.4,drive,0.5777496519731358,-455.0,-0.19,0.19,0.043,0
brake,left,-1,0.4,drive,0.6837804949609563,-455.0,-0.18,0.18,0.044,0
brake,left,-1,0.4,drive,0.7799607829656452,-68.0,-0.36,0.36,-0.164,0
brake,left,-1,0.4,drive,0.8659141309908591,-264.0,-3.07,3.07,-0.124,0
brake,left,-1,0.4,brake,0.03077013901202008,-330.0,-2.04,2.04,-0.012,0
brake,left,-1,0.4,brake,0.10703516798093915,-855.0,-1.17,1.19,-0.154,0
brake,left,-1,0.4,brake,0.1829585189698264,-1344.0,-0.39,0.42,-0.23,0
brake,left,-1,0.4,brake,0.25880671601044014,-1355.0,-0.08,0.09,-0.137,0
brake,left,-1,0.4,brake,0.3345927399932407,-788.0,0.15,0.15,-0.042,0
brake,left,-1,0.4,brake,0.41044117900310084,-637.0,0.26,0.31,0.058,0
brake,left,-1,0.4,brake,0.4761274579796009,-637.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,0.5420350100030191,-637.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,0.6077233889955096,-637.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,0.6735854519647546,-637.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,0.7393599129864015,-637.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,0.8053622709703632,-637.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,0.8710054599796422,0.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,0.9367736139683984,0.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,1.0024145729839802,0.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,1.0680347259622067,0.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,1.1337585870060138,0.0,0.0,0.0,0.0,0
brake,left,-1,0.4,brake,1.1995105749811046,0.0,0.0,0.0,0.0,0
handbrake,left,0,0.1,hold,0.010489643958862871,0.0,0.0,0.0,0.0,0
handbrake,left,0,0.1,hold,0.08637916995212436,0.0,-0.05,0.08,0.062,0
handbrake,left,0,0.1,hold,0.1624452059622854,0.0,0.1,0.1,0.058,0
handbrake,left,0,0.1,hold,0.2385813879664056,0.0,0.09,0.09,0.059,0
handbrake,left,0,0.1,hold,0.31468352396041155,0.0,0.1,0.1,0.058,0
handbrake,left,0,0.1,hold,0.39076336700236425,0.0,0.09,0.09,0.058,0
handbrake,left,0,0.1,hold,0.4668597870040685,0.0,0.09,0.09,0.059,0
handbrake,left,0,0.1,hold,0.5428015219513327,0.0,0.09,0.09,0.059,0
handbrake,left,0,0.1,hold,0.6186614469625056,0.0,0.09,0.09,0.059,0
handbrake,left,0,0.1,hold,0.6944271879619919,0.0,0.09,0.09,0.059,0
handbrake,left,0,0.1,hold,0.7701272419653833,0.0,0.09,0.09,0.059,0
handbrake,left,0,0.1,hold,0.846136968000792,0.0,0.09,0.09,0.058,0
handbrake,left,0,0.2,hold,0.010516872978769243,0.0,0.0,0.0,0.0,0
handbrake,left,0,0.2,hold,0.08644859498599544,0.0,0.0,0.06,0.061,0
handbrake,left,0,0.2,hold,0.1623913119547069,0.0,0.19,0.19,0.061,0
handbrake,left,0,0.2,hold,0.23825026396661997,0.0,0.19,0.19,0.061,0
handbrake,left,0,0.2,hold,0.31405126297613606,0.0,0.19,0.19,0.061,0
handbrake,left,0,0.2,hold,0.39004827599273995,0.0,0.19,0.19,0.061,0
handbrake,left,0,0.2,hold,0.4659257179591805,0.0,0.19,0.19,0.061,0
