case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.00016027200035750866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.06642872997326776,0.0,-0.03,0.0,0.03,0.0,0.021,0.667,-0.606,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.13267427997197956,0.0,0.02,0.0,0.02,0.08,0.03,0.986,-0.836,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.19900605297880247,0.0,0.03,-0.01,0.03,0.08,0.034,1.273,-0.745,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.26531733496813104,0.0,0.07,0.0,0.07,0.1,0.037,1.461,-0.632,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.33166580297984183,0.0,0.11,0.0,0.11,0.06,0.038,1.544,-0.482,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.39845771295949817,0.0,0.13,0.01,0.13,0.06,0.04,1.678,-0.254,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.4648519699694589,0.0,0.19,-0.04,0.2,0.12,0.042,1.812,-0.053,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.5311032019671984,0.0,0.2,0.0,0.2,0.04,0.046,1.92,0.407,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.5977257449994795,0.0,0.17,0.0,0.17,0.12,0.051,2.137,0.404,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.6643151849857531,0.0,0.24,0.02,0.24,0.12,0.055,2.341,0.265,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.7306251089903526,0.0,0.23,0.0,0.23,0.04,0.063,2.681,0.415,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.7969342339783907,0.0,0.27,-0.04,0.27,0.08,0.071,3.054,-0.104,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.8633049440104514,247.0,0.13,-0.06,0.15,0.06,0.079,3.322,-0.764,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.9299031409900635,359.0,0.2,-0.06,0.2,0.06,0.074,3.129,-0.592,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,0.9961418239981867,338.0,0.15,0.03,0.16,0.1,0.064,2.679,-0.522,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.0625926060019992,296.0,0.15,-0.03,0.16,0.08,0.064,2.66,-0.646,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.1290597819606774,243.0,0.22,0.02,0.22,0.06,0.063,2.684,-0.421,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.1954161419998854,239.0,0.2,0.03,0.2,0.04,0.063,2.716,-0.093,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.2619954929687083,240.0,0.19,0.03,0.19,0.1,0.059,2.507,-0.442,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.3282712579821236,226.0,0.15,0.03,0.15,0.06,0.067,2.789,-0.673,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.3947734590037726,226.0,0.17,-0.09,0.19,0.08,0.072,3.051,-0.434,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.4610876169754192,275.0,0.22,0.03,0.22,0.08,0.066,2.799,-0.319,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.5274926309939474,284.0,0.15,-0.04,0.15,0.02,0.071,2.915,-0.817,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.5941539329942316,286.0,0.14,0.0,0.14,0.1,0.073,3.035,-0.694,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.6604969809995964,310.0,0.24,0.0,0.24,0.08,0.065,2.791,-0.321,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.7268329309881665,293.0,0.13,0.02,0.14,0.04,0.069,2.856,-0.815,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.7931163199828006,279.0,0.17,0.0,0.17,0.06,0.07,2.933,-0.611,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.8594307280145586,294.0,0.19,0.03,0.2,0.06,0.067,2.864,-0.332,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.9260670999647118,295.0,0.17,0.05,0.18,0.0,0.067,2.799,-0.665,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,1.9923713759635575,271.0,0.23,-0.06,0.23,0.44,0.072,3.006,-0.651,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,2.0587596319965087,280.0,0.24,0.01,0.24,0.3,0.069,2.944,-0.236,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,2.1254304939648136,300.0,0.18,0.06,0.19,0.08,0.066,2.77,-0.573,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,300,run,2.1917765549733303,277.0,0.14,-0.04,0.15,0.06,0.074,3.068,-0.777,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,1.4370307326316833e-06,282.0,0.19,-0.07,-0.2,-0.04,0.071,3.03,-0.222,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.07646043004933745,302.0,0.15,0.04,0.16,0.02,0.066,2.794,-0.506,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.14278492104494944,274.0,0.15,-0.02,0.15,0.1,0.067,2.781,-0.699,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.20937294501345605,257.0,0.16,-0.07,-0.17,-0.06,0.06,2.59,-0.029,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.27574040804756805,228.0,0.2,-0.04,0.21,0.1,0.049,2.091,-0.037,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.34204614005284384,228.0,0.13,0.02,0.13,0.06,0.034,1.407,-0.421,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.408407511014957,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.4744900820078328,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_ramp600_+300_r1,left,0.009,0.02,0.0,0,stop,0.5410189609974623,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
