abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,ramp,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_ramp600_+300_r1,0,0,4464,0.0,0.02,0.009,0.14,0.0,left,19.666666666666664,0.27,0.079,359.0,0.27,55,0,600,1,0.9299031409900635,0,284.6,-5.133333333333326,11.038115781237304,0.0,300
,left_ramp600_-300_r1,0,0,4464,0.0,0.02,0.009,0.17,-0.0,left,61.33333333333333,0.34,0.088,484.0,0.34,55,0,600,1,1.0616757299867459,0,295.0,-1.6666666666666667,2.280350850198276,0.0,-300
,left_ramp600_+300_r2,0,0,4464,0.0,0.02,0.009,0.17,0.0,left,12.666666666666668,0.31,0.075,338.0,0.29,55,0,600,2,0.9291411250014789,0,289.0,-3.6666666666666665,4.732863826479693,0.0,300
,left_ramp600_-300_r2,0,0,4464,0.0,0.02,0.009,0.14,-0.0,left,40.33333333333333,0.28,0.081,421.0,0.27,55,0,600,2,0.9291989870253019,0,289.0,-3.6666666666666665,6.928203230275509,316.0,-300
,left_ramp900_+300_r1,0,0,4464,0.0,0.02,0.009,0.13,0.0,left,39.0,0.28,0.082,417.0,0.28,56,0,900,1,0.9282759119523689,0,287.0,-4.333333333333334,6.54217089351845,0.0,300
,left_ramp900_-300_r1,0,0,4464,0.0,0.02,0.009,0.12,-0.0,left,6.0,0.26,0.074,318.0,0.26,56,0,900,1,0.7961994869983755,0,287.8,-4.066666666666663,6.8527366796047255,0.0,-300
,left_ramp900_+300_r2,0,0,4464,0.0,0.02,0.009,0.14,0.0,left,43.666666666666664,0.31,0.083,431.0,0.3,56,0,900,2,0.9291646999772638,0,288.2,-3.933333333333337,3.867815921162743,0.0,300
,left_ramp900_-300_r2,0,0,4464,0.0,0.02,0.009,0.14,-0.0,left,50.33333333333333,0.31,0.082,451.0,0.31,57,0,900,2,0.9286717009963468,0,292.8,-2.3999999999999964,4.534313619501853,0.0,-300
,left_ramp1200_+300_r1,0,0,4464,0.0,0.02,0.009,0.13,0.0,left,15.333333333333332,0.27,0.079,346.0,0.26,57,0,1200,1,0.7297833230113611,0,281.0,-6.333333333333334,10.334408546211051,0.0,300
,left_ramp1200_-300_r1,0,0,4464,0.0,0.02,0.009,0.14,-0.0,left,0.0,0.31,0.072,300.0,0.3,57,0,1200,1,1.194366003968753,0,288.4,-3.8666666666666747,8.685620300243386,0.0,-300
,left_ramp1200_+300_r2,0,0,4464,0.0,0.02,0.009,0.17,0.0,left,26.666666666666668,0.29,0.078,380.0,0.28,58,0,1200,2,0.8623940150137059,0,287.2,-4.266666666666671,3.1240998703626617,0.0,300
,left_ramp1200_-300_r2,0,0,4464,0.0,0.02,0.009,0.18,-0.0,left,1.3333333333333335,0.26,0.073,304.0,0.26,58,0,1200,2,1.3941816540318541,0,295.2,-1.6000000000000039,5.775811631277461,0.0,-300
,left_ramp1500_+300_r1,0,0,4464,0.0,0.02,0.009,0.21999999999999997,0.0,left,65.0,0.42,0.09,495.0,0.41,59,0,1500,1,1.0615118510322645,0,293.2,-2.26666666666667,10.92520022699813,0.0,300
,left_ramp1500_-300_r1,0,0,4464,0.0,0.02,0.009,0.16,-0.0,left,0.0,0.26,0.071,297.0,0.26,59,0,1500,1,1.3268426129943691,0,294.0,-2.0,2.9664793948382653,0.0,-300
