case,motor,kp,ki,kd,target,phase,t,erpm,iq,id,imotor,iin,duty,vq,vd,fault
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.00012710504233837128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.06644483399577439,0.0,0.0,0.0,0.0,0.04,0.002,0.037,0.069,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.13296981499297544,0.0,0.02,0.0,0.02,0.02,0.017,0.702,0.241,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.19920879503479227,0.0,0.1,-0.01,0.1,0.02,0.036,1.493,0.343,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.2654987160349265,0.0,0.16,0.0,0.16,0.14,0.039,1.657,0.354,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.3318148890393786,0.0,0.19,0.02,0.19,0.04,0.04,1.686,-0.19,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.39816909801447764,0.0,0.19,0.0,0.19,0.14,0.041,1.721,-0.329,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.46465930703561753,0.0,0.22,0.0,0.22,0.18,0.042,1.764,-0.343,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.5310103180236183,0.0,0.22,0.0,0.22,0.08,0.043,1.812,-0.337,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.5977721040253527,0.0,0.24,0.0,0.24,0.0,0.044,1.871,-0.319,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.6639620730420575,0.0,0.22,0.0,0.22,0.08,0.052,2.217,-0.241,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.7302173179923557,0.0,0.21,0.0,0.21,0.32,0.068,2.915,-0.236,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.796442124992609,0.0,0.26,-0.04,0.26,0.08,0.079,3.376,-0.41,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.8628329409984872,325.0,0.17,0.0,0.17,0.08,0.076,3.135,-0.82,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.9290903480141424,341.0,0.19,0.01,0.19,0.02,0.072,3.046,-0.555,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,0.99539094499778,334.0,0.16,-0.04,0.16,0.04,0.069,2.899,-0.533,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,1.0620494550094008,291.0,0.14,-0.02,0.14,0.06,0.064,2.746,-0.337,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,1.128404707997106,265.0,0.17,0.02,0.17,0.02,0.066,2.791,-0.335,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,1.1948089229990728,241.0,0.22,-0.04,0.22,0.02,0.066,2.813,-0.356,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,1.2616547709912993,242.0,0.22,0.0,0.22,0.24,0.062,2.655,-0.37,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,1.3280068369931541,242.0,0.2,0.02,0.2,0.06,0.066,2.837,-0.227,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,1.3943463030154817,250.0,0.24,0.04,-0.24,-0.02,0.068,2.874,-0.38,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,300.0,run,1.4611537880264223,272.0,0.15,0.06,0.16,0.02,0.071,2.984,-0.63,0
left_kp0.0085_ki0.017_kd0_+300,left,0.0085,0.017,0.0,0,stop,1.9129947759211063e-06,288.0,0.16,-0.07,0.18,0.02,0.07,2.992,-0.364,0
