abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.009_ki0.021_kd0_+300,0,0,4431,0.0,0.021,0.009,0.11,0.0,left,43.333333333333336,0.29,0.084,430.0,0.28,5,0,0.7956833650241606,0,261.0,-13.0,8.689073598491383,0.0,300.0
,left_kp0.009_ki0.021_kd0_-300,0,0,4431,0.0,0.021,0.009,0.10999999999999999,-0.0,left,19.666666666666664,0.3,0.075,359.0,0.29,5,0,0.7293410670245066,0,258.25,-13.916666666666666,17.06421694658152,0.0,-300.0
,left_kp0.009_ki0.022_kd0_+300,0,0,4431,0.0,0.022,0.009,0.18,0.0,left,38.666666666666664,0.3,0.086,416.0,0.3,5,0,0.7968677480239421,0,273.75,-8.75,5.7608593109014565,0.0,300.0
,left_kp0.009_ki0.022_kd0_-300,0,0,4431,0.0,0.022,0.009,0.21,-0.0,left,37.333333333333336,0.29,0.086,412.0,0.29,6,0,0.8628651080070995,0,295.0,-1.6666666666666667,19.026297590440446,402.0,-300.0
,left_kp0.0095_ki0.021_kd0_+300,0,0,4431,0.0,0.021,0.0095,0.11,0.0,left,42.66666666666667,0.28,0.087,428.0,0.28,7,0,0.9297077630180866,0,322.0,7.333333333333333,4.743416490252569,0.0,300.0
,left_kp0.0095_ki0.021_kd0_-300,0,0,4431,0.0,0.021,0.0095,0.15,-0.0,left,3.0,0.26,0.076,309.0,0.26,7,0,0.6636778360116296,0,211.5,-29.5,65.25526798657714,412.0,-300.0
,left_kp0.009_ki0.021_kd3e-05_+300,0,0,4464,3e-05,0.021,0.009,0.12,0.0,left,32.666666666666664,0.3,0.083,398.0,0.3,8,0,0.8634570119902492,0,253.25,-15.583333333333332,14.394009170484782,265.0,300.0
,left_kp0.009_ki0.021_kd3e-05_-300,0,0,4464,3e-05,0.021,0.009,0.13,-0.0,left,40.33333333333333,0.32,0.085,421.0,0.32,9,0,0.9293915510061197,0,295.0,-1.6666666666666667,30.091527046662154,296.0,-300.0
,left_kp0.009_ki0.021_kd6e-05_+300,0,0,4464,6e-05,0.021,0.009,0.13,0.0,left,8.333333333333332,0.29,0.076,325.0,0.29,10,0,0.7964877799968235,0,244.75,-18.416666666666668,16.618889854620253,0.0,300.0
,left_kp0.009_ki0.021_kd6e-05_-300,0,0,4464,6e-05,0.021,0.009,0.16,-0.0,left,41.0,0.3,0.085,423.0,0.3,12,0,0.9289127420051955,0,362.5,20.833333333333336,34.077118422777474,0.0,-300.0
