abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_kp0.014_ki0.005_kd0_+300_r1,0,0,4464,0.0,0.005,0.014,0.15000000000000002,0.0,left,0.0,0.27,0.074,272.0,0.27,24,0,1,1.857466930989176,0,226.8,-24.399999999999995,40.28597770937178,569.0,300.0
,left_kp0.014_ki0.005_kd0_-300_r1,0,0,4464,0.0,0.005,0.014,0.14,-0.0,left,0.0,0.3,0.075,254.0,0.3,29,0,1,,0,73.0,-75.66666666666667,72.91090453423274,0.0,-300.0
,left_kp0.016_ki0.004_kd0_+300_r1,0,0,4464,0.0,0.004,0.016,0.16,0.0,left,0.0,0.26,0.067,224.0,0.26,31,0,1,,0,217.0,-27.666666666666668,0.0,0.0,300.0
,left_kp0.016_ki0.004_kd0_-300_r1,0,0,4464,0.0,0.004,0.016,0.16,-0.0,left,0.0,0.29,0.072,240.0,0.29,34,0,1,,0,235.0,-21.666666666666668,0.0,0.0,-300.0
,left_kp0.018_ki0.003_kd0_+300_r1,0,0,4464,0.0,0.003,0.018,0.19999999999999998,0.0,left,2.3333333333333335,0.28,0.072,307.0,0.28,39,0,1,0.46401573601178825,0,112.8,-62.4,92.10081432864749,0.0,300.0
,left_kp0.018_ki0.003_kd0_-300_r1,0,0,4464,0.0,0.003,0.018,0.21,-0.0,left,0.0,0.32,0.071,269.0,0.31,45,0,1,,0,105.0,-65.0,87.13437897867867,0.0,-300.0
,left_kp0.02_ki0.002_kd0_+300_r1,0,0,4464,0.0,0.002,0.02,0.24999999999999997,0.0,left,9.0,0.33,0.076,327.0,0.32,50,0,1,0.3983068489469588,0,153.0,-49.0,103.23952731391209,0.0,300.0
,left_kp0.02_ki0.002_kd0_-300_r1,0,0,4464,0.0,0.002,0.02,0.26,-0.0,left,17.666666666666668,0.3,0.078,353.0,0.3,55,0,1,0.39786220400128514,0,77.8,-74.06666666666666,73.05723783445416,0.0,-300.0
,right_kp0.014_ki0.005_kd0_+300_r1,0,0,4464,0.0,0.005,0.014,0.13,0.0,right,0.0,0.34,0.082,0.0,0.34,27,0,1,,0,0.0,-100.0,0.0,0.0,300.0
,right_kp0.014_ki0.005_kd0_-300_r1,0,0,4464,0.0,0.005,0.014,0.11000000000000001,-0.0,right,15.666666666666668,0.33,0.075,347.0,0.32,28,0,1,1.7910121139721014,0,267.4,-10.866666666666674,53.983701243986594,0.0,-300.0
,right_kp0.016_ki0.004_kd0_+300_r1,0,0,4464,0.0,0.004,0.016,0.14,0.0,right,0.0,0.29,0.063,208.0,0.29,29,0,1,,0,150.4,-49.86666666666667,75.2,0.0,300.0
,right_kp0.016_ki0.004_kd0_-300_r1,0,0,4464,0.0,0.004,0.016,0.16999999999999998,-0.0,right,0.0,0.36,0.066,209.0,0.36,29,0,1,,0,0.0,-100.0,0.0,0.0,-300.0
,right_kp0.018_ki0.003_kd0_+300_r1,0,0,4464,0.0,0.003,0.018,0.22999999999999998,0.0,right,0.0,0.35,0.067,267.0,0.35,29,0,1,,0,0.0,-100.0,0.0,0.0,300.0
,right_kp0.018_ki0.003_kd0_-300_r1,0,0,4464,0.0,0.003,0.018,0.23000000000000004,-0.0,right,0.0,0.34,0.072,263.0,0.34,29,0,1,,0,0.0,-100.0,0.0,0.0,-300.0
,right_kp0.02_ki0.002_kd0_+300_r1,0,0,4464,0.0,0.002,0.02,0.19999999999999998,0.0,right,0.0,0.29,0.078,238.0,0.29,33,0,1,,0,149.8,-50.06666666666666,99.98079815644601,0.0,300.0
,right_kp0.02_ki0.002_kd0_-300_r1,0,0,4464,0.0,0.002,0.02,0.26,-0.0,right,0.0,0.3,0.072,291.0,0.3,38,0,1,0.46476157498545945,0,125.4,-58.199999999999996,102.38867124833685,0.0,-300.0
